Microsoft (R) COFF Binary File Dumper Version 5.12.8078
Copyright (C) Microsoft Corp 1992-1998. All rights reserved.


Dump of file kernel32.dll

File Type: DLL

  Section contains the following exports for KERNEL32.dll

           0 characteristics
    48025BE1 time date stamp Sun Apr 13 23:45:45 2008
        0.00 version
           1 ordinal base
         953 number of functions
         953 number of names

    ordinal hint RVA      name
        139   8A 0001272F DisconnectNamedPipe
        140   8B 00058A2B DnsHostnameToComputerNameA
        141   8C 0002CEAA DnsHostnameToComputerNameW
        142   8D 00032168 DosDateTimeToFileTime
        143   8E 000627D9 DosPathToSessionPathA
        144   8F 0002C1DF DosPathToSessionPathW
        145   90 0001D4AD DuplicateConsoleHandle
        146   91 0000DE8E DuplicateHandle
        147   92          EncodePointer (forwarded to NTDLL.RtlEncodePointer)
        148   93          EncodeSystemPointer (forwarded to NTDLL.RtlEncodeSystemPointer)
        149   94 00070969 EndUpdateResourceA
        150   95 00070792 EndUpdateResourceW
        151   96          EnterCriticalSection (forwarded to NTDLL.RtlEnterCriticalSection)
        152   97 00038229 EnumCalendarInfoA
        153   98 00076769 EnumCalendarInfoExA
        154   99 0007979D EnumCalendarInfoExW
        155   9A 0007977A EnumCalendarInfoW
        156   9B 000767AA EnumDateFormatsA
        157   9C 000767CA EnumDateFormatsExA
        158   9D 000797C0 EnumDateFormatsExW
        159   9E 000387F9 EnumDateFormatsW
        160   9F 00076808 EnumLanguageGroupLocalesA
        161   A0 00079723 EnumLanguageGroupLocalesW
        162   A1 0002DFF8 EnumResourceLanguagesA
        163   A2 00060539 EnumResourceLanguagesW
        164   A3 00060131 EnumResourceNamesA
        165   A4 00055A51 EnumResourceNamesW
        166   A5 0005FF44 EnumResourceTypesA
        167   A6 00060351 EnumResourceTypesW
        168   A7 00076847 EnumSystemCodePagesA
        169   A8 0007975F EnumSystemCodePagesW
        170   A9 00079BF9 EnumSystemGeoID
        171   AA 000767EA EnumSystemLanguageGroupsA
        172   AB 00079705 EnumSystemLanguageGroupsW
        173   AC 00037CF9 EnumSystemLocalesA
        174   AD 00079744 EnumSystemLocalesW
        175   AE 0007678C EnumTimeFormatsA
        176   AF 000388D6 EnumTimeFormatsW
        177   B0 00076829 EnumUILanguagesA
        178   B1 0002A8C4 EnumUILanguagesW
        179   B2 0005897F EnumerateLocalComputerNamesA
        180   B3 000587FF EnumerateLocalComputerNamesW
        181   B4 0006C0FB EraseTape
        182   B5 00066771 EscapeCommFunction
        183   B6 0001CAFA ExitProcess
        184   B7 0000C0E8 ExitThread
        185   B8 00068675 ExitVDM
        186   B9 000329F1 ExpandEnvironmentStringsA
        187   BA 000305E6 ExpandEnvironmentStringsW
        188   BB 00071647 ExpungeConsoleCommandHistoryA
        189   BC 0007162F ExpungeConsoleCommandHistoryW
        190   BD 0005FAFC ExtendVirtualBuffer
        191   BE 00061C00 FatalAppExitA
        192   BF 00061BB2 FatalAppExitW
        193   C0 00061C4E FatalExit
        194   C1 0003064D FileTimeToDosDateTime
        195   C2 0000E8F6 FileTimeToLocalFileTime
        196   C3 0000E87C FileTimeToSystemTime
        197   C4 00074064 FillConsoleOutputAttribute
        198   C5 00074019 FillConsoleOutputCharacterA
        199   C6 00074040 FillConsoleOutputCharacterW
        200   C7 00030F11 FindActCtxSectionGuid
        201   C8 0006CAEF FindActCtxSectionStringA
        202   C9 0002FD3C FindActCtxSectionStringW
        203   CA 00030CEE FindAtomA
        204   CB 0002F817 FindAtomW
        205   CC 0000EE67 FindClose
        206   CD 000357ED FindCloseChangeNotification
        207   CE 0005D3B3 FindFirstChangeNotificationA
        208   CF 00034C07 FindFirstChangeNotificationW
        209   D0 00013869 FindFirstFileA
        210   D1 0005D41A FindFirstFileExA
        211   D2 0000EB0D FindFirstFileExW
        212   D3 0000EF71 FindFirstFileW
        213   D4 0006B239 FindFirstVolumeA
        214   D5 0006ACF9 FindFirstVolumeMountPointA
        215   D6 00069D91 FindFirstVolumeMountPointW
        216   D7 0002D2A7 FindFirstVolumeW
        217   D8 0003212D FindNextChangeNotification
        218   D9 00034EC9 FindNextFileA
        219   DA 0000EFCA FindNextFileW
        220   DB 0006ABDF FindNextVolumeA
        221   DC 0006AE29 FindNextVolumeMountPointA
        222   DD 0006A03D FindNextVolumeMountPointW
        223   DE 0002CF93 FindNextVolumeW
        224   DF 0000BF19 FindResourceA
        225   E0 00035F90 FindResourceExA
        226   E1 0000AD18 FindResourceExW
        227   E2 0000BC5E FindResourceW
        228   E3 0002CF58 FindVolumeClose
        229   E4 000357ED FindVolumeMountPointClose
        230   E5 00074B3C FlushConsoleInputBuffer
        231   E6 000126D1 FlushFileBuffers
        232   E7 000355D4 FlushInstructionCache
        233   E8 00035989 FlushViewOfFile
        234   E9 00076ED1 FoldStringA
        235   EA 0007A656 FoldStringW
        236   EB 0002F790 FormatMessageA
        237   EC 00034BA7 FormatMessageW
        238   ED 000720AD FreeConsole
        239   EE 0001D6D7 FreeEnvironmentStringsA
        240   EF 00014B77 FreeEnvironmentStringsW
        241   F0 0000AC6E FreeLibrary
        242   F1 0000C200 FreeLibraryAndExitThread
        243   F2 000260AA FreeResource
        244   F3 0005F648 FreeUserPhysicalPages
        245   F4 00034B81 FreeVirtualBuffer
        246   F5 00074A41 GenerateConsoleCtrlEvent
        247   F6 000099A5 GetACP
        248   F7 0005C1B3 GetAtomNameA
        249   F8 000330FF GetAtomNameW
        250   F9 0006900B GetBinaryType
        251   FA 0006900B GetBinaryTypeA
        252   FB 00068BAC GetBinaryTypeW
        253   FC 000384F3 GetCPFileNameFromRegistry
        254   FD 00012F06 GetCPInfo
        255   FE 00077067 GetCPInfoExA
        256   FF 0007B1ED GetCPInfoExW
        257  100 0007698B GetCalendarInfoA
        258  101 00039038 GetCalendarInfoW
        259  102 0006CB82 GetComPlusPackageInstallStatus
        260  103 00067CE9 GetCommConfig
        261  104 0006686D GetCommMask
        262  105 000668F6 GetCommModemStatus
        263  106 0006697F GetCommProperties
        264  107 00066A37 GetCommState
        265  108 00022110 GetCommTimeouts
        266  109 00012FAD GetCommandLineA
        267  10A 00017013 GetCommandLineW
        268  10B 0005E3A1 GetCompressedFileSizeA
        269  10C 0005E279 GetCompressedFileSizeW
        270  10D 0002168C GetComputerNameA
        271  10E 00058703 GetComputerNameExA
        272  10F 000201D9 GetComputerNameExW
        273  110 000316B7 GetComputerNameW
        274  111 000710D2 GetConsoleAliasA
        275  112 0007156C GetConsoleAliasExesA
        276  113 00071272 GetConsoleAliasExesLengthA
        277  114 00071265 GetConsoleAliasExesLengthW
        278  115 00071551 GetConsoleAliasExesW
        279  116 000710A6 GetConsoleAliasW
        280  117 00071407 GetConsoleAliasesA
        281  118 000711D9 GetConsoleAliasesLengthA
        282  119 000711C1 GetConsoleAliasesLengthW
        283  11A 000713E9 GetConsoleAliasesW
        284  11B 000750F3 GetConsoleCP
        285  11C 000761C3 GetConsoleCharType
        286  11D 000719C7 GetConsoleCommandHistoryA
        287  11E 00071825 GetConsoleCommandHistoryLengthA
        288  11F 0007180D GetConsoleCommandHistoryLengthW
        289  120 000719A9 GetConsoleCommandHistoryW
        290  121 00074581 GetConsoleCursorInfo
        291  122 0007581F GetConsoleCursorMode
        292  123 00037C6B GetConsoleDisplayMode
        293  124 000747B9 GetConsoleFontInfo
        294  125 000748E1 GetConsoleFontSize
        295  126 00072C39 GetConsoleHardwareState
        296  127 00071D1C GetConsoleInputExeNameA
        297  128 00071AF1 GetConsoleInputExeNameW
        298  129 00072619 GetConsoleInputWaitHandle
        299  12A 00075349 GetConsoleKeyboardLayoutNameA
        300  12B 00075361 GetConsoleKeyboardLayoutNameW
        301  12C 0001AC38 GetConsoleMode
        302  12D 00075FA7 GetConsoleNlsMode
        303  12E 0001AEAF GetConsoleOutputCP
        304  12F 000753E5 GetConsoleProcessList
        305  130 0001B94B GetConsoleScreenBufferInfo
        306  131 00074649 GetConsoleSelectionInfo
        307  132 00071A59 GetConsoleTitleA
        308  133 0001B75C GetConsoleTitleW
        309  134 00075379 GetConsoleWindow
        310  135 00076B99 GetCurrencyFormatA
        311  136 0007C6EA GetCurrencyFormatW
        312  137 00030099 GetCurrentActCtx
        313  138 0007496F GetCurrentConsoleFont
        314  139 00035016 GetCurrentDirectoryA
        315  13A 0000B907 GetCurrentDirectoryW
        316  13B 0000DE85 GetCurrentProcess
        317  13C 000099B0 GetCurrentProcessId
        318  13D 0000997B GetCurrentThread
        319  13E 000097B8 GetCurrentThreadId
        320  13F 00036206 GetDateFormatA
        321  140 0003378D GetDateFormatW
        322  141 00067A21 GetDefaultCommConfigA
        323  142 00067929 GetDefaultCommConfigW
        324  143 0007BA61 GetDefaultSortkeySize
        325  144 00061A24 GetDevicePowerState
        326  145 000302DD GetDiskFreeSpaceA
        327  146 0003038B GetDiskFreeSpaceExA
        328  147 00012893 GetDiskFreeSpaceExW
        329  148 0003019F GetDiskFreeSpaceW
        330  149 0005FE4F GetDllDirectoryA
        331  14A 0005FCDF GetDllDirectoryW
        332  14B 000214CB GetDriveTypeA
        333  14C 0000B360 GetDriveTypeW
        334  14D 0001CC7B GetEnvironmentStrings
        335  14E 0001CC7B GetEnvironmentStringsA
        336  14F 00012F98 GetEnvironmentStringsW
        337  150 00014B82 GetEnvironmentVariableA
        338  151 0000F184 GetEnvironmentVariableW
        339  152 0001AB3B GetExitCodeProcess
        340  153 0002141D GetExitCodeThread
        341  154 00065BA7 GetExpandedNameA
        342  155 00065C54 GetExpandedNameW
        343  156 000115CC GetFileAttributesA
        344  157 00013841 GetFileAttributesExA
        345  158 00011185 GetFileAttributesExW
        346  159 0000B7DC GetFileAttributesW
        347  15A 00010CFD GetFileInformationByHandle
        348  15B 00010B07 GetFileSize
        349  15C 00010A99 GetFileSizeEx
        350  15D 00031C35 GetFileTime
        351  15E 00010EE1 GetFileType
        352  15F 0005F43C GetFirmwareEnvironmentVariableA
        353  160 0005F325 GetFirmwareEnvironmentVariableW
        354  161 0001398C GetFullPathNameA
        355  162 0000B8E2 GetFullPathNameW
        356  163 00076862 GetGeoInfoA
        357  164 00079867 GetGeoInfoW
        358  165 0006C663 GetHandleContext
        359  166 0002BDAD GetHandleInformation
        360  167 00075651 GetLargestConsoleWindowSize
        361  168          GetLastError (forwarded to NTDLL.RtlGetLastWin32Error)
        362  169 0007BA8B GetLinguistLangSize
        363  16A 0000A864 GetLocalTime
        364  16B 0000D2F2 GetLocaleInfoA
        365  16C 000115F2 GetLocaleInfoW
        366  16D 0002C2CB GetLogicalDriveStringsA
        367  16E 000612D7 GetLogicalDriveStringsW
        368  16F 00030B04 GetLogicalDrives
        369  170 00061C97 GetLogicalProcessorInformation
        370  171 00069566 GetLongPathNameA
        371  172 000133E3 GetLongPathNameW
        372  173 0005FA60 GetMailslotInfo
        373  174 0000B55F GetModuleFileNameA
        374  175 0000B465 GetModuleFileNameW
        375  176 0000B731 GetModuleHandleA
        376  177 0005FEEE GetModuleHandleExA
        377  178 0001FCA9 GetModuleHandleExW
        378  179 0000E4CD GetModuleHandleW
        379  17A 00060BF3 GetNamedPipeHandleStateA
        380  17B 0006098D GetNamedPipeHandleStateW
        381  17C 00060792 GetNamedPipeInfo
        382  17D 0003795D GetNativeSystemInfo
        383  17E 00067F23 GetNextVDMCommand
        384  17F 0001800D GetNlsSectionName
        385  180 00060ECC GetNumaAvailableMemory
        386  181 00060F12 GetNumaAvailableMemoryNode
        387  182 00060D49 GetNumaHighestNodeNumber
        388  183 00060E21 GetNumaNodeProcessorMask
        389  184 00060E86 GetNumaProcessorMap
        390  185 00060D94 GetNumaProcessorNode
        391  186 0002EC3C GetNumberFormatA
        392  187 000344D4 GetNumberFormatW
        393  188 00075521 GetNumberOfConsoleFonts
        394  189 0007558D GetNumberOfConsoleInputEvents
        395  18A 00074701 GetNumberOfConsoleMouseButtons
        396  18B 00012837 GetOEMCP
        397  18C 000315B4 GetOverlappedResult
        398  18D 00061D97 GetPriorityClass
        399  18E 0003644C GetPrivateProfileIntA
        400  18F 00032748 GetPrivateProfileIntW
        401  190 00035F39 GetPrivateProfileSectionA
        402  191 00032DBF GetPrivateProfileSectionNamesA
        403  192 0005CA12 GetPrivateProfileSectionNamesW
        404  193 0001EDA5 GetPrivateProfileSectionW
        405  194 00032B6E GetPrivateProfileStringA
        406  195 0000F9ED GetPrivateProfileStringW
        407  196 0005CA33 GetPrivateProfileStructA
        408  197 0005CB9D GetPrivateProfileStructW
        409  198 0000AE30 GetProcAddress
        410  199 0002174D GetProcessAffinityMask
        411  19A 000621AD GetProcessDEPPolicy
        412  19B 0006210A GetProcessHandleCount
        413  19C 0000AC51 GetProcessHeap
        414  19D 0005F8E3 GetProcessHeaps
        415  19E 00061B7D GetProcessId
        416  19F 000620D9 GetProcessIoCounters
        417  1A0 0006209F GetProcessPriorityBoost
        418  1A1 00061DFD GetProcessShutdownParameters
        419  1A2 000352F1 GetProcessTimes
        420  1A3 00012CB3 GetProcessVersion
        421  1A4 00061FEC GetProcessWorkingSetSize
        422  1A5 000364C1 GetProfileIntA
        423  1A6 0002F88A GetProfileIntW
        424  1A7 0005CFDF GetProfileSectionA
        425  1A8 0005D018 GetProfileSectionW
        426  1A9 0002147D GetProfileStringA
        427  1AA 000213E0 GetProfileStringW
        428  1AB 0000A7AD GetQueuedCompletionStatus
